id,director,actor1,actor2,actor3,genres,keywords,title,comb
406563,adamrobitel,linshaye,angussampson,leighwhannell,Horror Mystery Thriller,haunted hous prequel spirit 1950s,insidious: the last key,Horror Mystery Thriller haunted hous prequel spirit 1950s linshaye angussampson leighwhannell adamrobitel
426258,laurenwolkstein,alexpettyfer,jamesfreedson-jackson,marinireland,Thriller Drama,sibling relationship fire motel nightmar road trip remak woman director,the strange ones,Thriller Drama sibling relationship fire motel nightmar road trip remak woman director alexpettyfer jamesfreedson-jackson marinireland laurenwolkstein
348389,simonwest,dominiccooper,gemmachan,connienielsen,Action Thriller,based on novel or book terrorist,stratton,Action Thriller based on novel or book terrorist dominiccooper gemmachan connienielsen simonwest
468210,warwickthornton,hamiltonmorris,bryanbrown,samneill,Drama Western Thriller,rape slaveri court cas bibl based on true stori desert 1920s abuse of pow,sweet country,Drama Western Thriller rape slaveri court cas bibl based on true stori desert 1920s abuse of pow hamiltonmorris bryanbrown samneill warwickthornton
399035,jaumecollet-serra,liamneeson,verafarmiga,patrickwilson,Action Thriller Mystery,conspiraci train,the commuter,Action Thriller Mystery conspiraci train liamneeson verafarmiga patrickwilson jaumecollet-serra
442064,babaknajafi,tarajip.henson,jahidi'allowinston,dannyglover,Thriller Action Crime,hitman,proud mary,Thriller Action Crime hitman tarajip.henson jahidi'allowinston dannyglover babaknajafi
479040,brettdonowho,brucewillis,colehauser,shawnashmore,Action,post traumatic stress disord kidnap human traffick polic murder,acts of violence,Action post traumatic stress disord kidnap human traffick polic murder brucewillis colehauser shawnashmore brettdonowho
440424,trudiestyler,alexlawther,iannelson,annasophiarobb,Comedy Drama,high school lgbt woman director,freak show,Comedy Drama high school lgbt woman director alexlawther iannelson annasophiarobb trudiestyler
460216,samhoffman,jemaineclement,elliottgould,ingridmichaelson,Comedy,parent child relationship,humor me,Comedy parent child relationship jemaineclement elliottgould ingridmichaelson samhoffman
436355,danielathomas,adrianocarvalho,luananastas,sandracorveloni,Drama,,vazante,Drama  adrianocarvalho luananastas sandracorveloni danielathomas
430447,hiromasayonebayashi,yukiamami,ryunosukekamiki,hanasugisaki,Fantasy Adventure Animation Family,witch based on novel or book cat magic school of witchcraft based on children's book anim,mary and the witch's flower,Fantasy Adventure Animation Family witch based on novel or book cat magic school of witchcraft based on children's book anim yukiamami ryunosukekamiki hanasugisaki hiromasayonebayashi
429351,nicolaifuglsig,chrishemsworth,michaelshannon,michaelpeña,War Drama Action History,cia based on novel or book afghanistan taliban based on true stori,12 strong,War Drama Action History cia based on novel or book afghanistan taliban based on true stori chrishemsworth michaelshannon michaelpeña nicolaifuglsig
