id,director,actor1,actor2,actor3,genres,keywords,title,comb
522681,adamrobitel,taylorrussell,loganmiller,jayellis,Horror Thriller Mystery,"chicago, illinoi clue",escape room,"Horror Thriller Mystery chicago, illinoi clue taylorrussell loganmiller jayellis adamrobitel"
561362,jenmcgowan,hermionecorfield,jaypaulson,seano'bryan,Thriller Drama Action Crime,wood murder surviv meth lab woman director,rust creek,Thriller Drama Action Crime wood murder surviv meth lab woman director hermionecorfield jaypaulson seano'bryan jenmcgowan
567738,wilsonconeybeare,donaldsutherland,vincentkartheiser,oliverdennis,Thriller,kidnap,american hangman,Thriller kidnap donaldsutherland vincentkartheiser oliverdennis wilsonconeybeare
508763,charlesmartinsmith,ashleyjudd,jonahhauer-king,edwardjamesolmos,Drama Adventure Family,based on novel or book new mexico colorado based on true stori dog pet,a dog's way home,Drama Adventure Family based on novel or book new mexico colorado based on true stori dog pet ashleyjudd jonahhauer-king edwardjamesolmos charlesmartinsmith
440472,neilburger,kevinhart,bryancranston,nicolekidman,Comedy Drama,based on true stori remak interracial friendship,the upside,Comedy Drama based on true stori remak interracial friendship kevinhart bryancranston nicolekidman neilburger
300681,jeffreynachmanoff,keanureeves,aliceeve,thomasmiddleditch,Science Fiction Thriller Drama,car accid famili,replicas,Science Fiction Thriller Drama car accid famili keanureeves aliceeve thomasmiddleditch jeffreynachmanoff
414777,batansilva,nataliadyer,valoriecurry,kyrasedgwick,Drama Family Thriller Science Fiction,,after darkness,Drama Family Thriller Science Fiction  nataliadyer valoriecurry kyrasedgwick batansilva
661374,rianjohnson,danielcraig,edwardnorton,janellemonáe,Mystery Thriller Comedy,detect greec investig satir sequel murder mysteri billionair whodunit puzzle box clue identical twin murder mysteri arrested develop covid-19,glass,Mystery Thriller Comedy detect greec investig satir sequel murder mysteri billionair whodunit puzzle box clue identical twin murder mysteri arrested develop covid-19 danielcraig edwardnorton janellemonáe rianjohnson
901563,lukasdhont,edendambrine,gustavdewaele,émiliedequenne,Drama,male friendship coming of ag best friend childhood friend,close,Drama male friendship coming of ag best friend childhood friend edendambrine gustavdewaele émiliedequenne lukasdhont
516630,henrydunham,jamesbadgedale,briangeraghty,patrickfischler,Drama Thriller Mystery,,the standoff at sparrow creek,Drama Thriller Mystery  jamesbadgedale briangeraghty patrickfischler henrydunham
