id,director,actor1,actor2,actor3,genres,keywords,title,comb
818750,arieposin,joeyking,kyleallen,kimdickens,Romance Science Fiction Drama,,the in between,Romance Science Fiction Drama  joeyking kyleallen kimdickens arieposin
890656,roelreiné,ikouwais,lewistan,lawrencekao,Action Fantasy,martial art based on tv seri,fistful of vengeance,Action Fantasy martial art based on tv seri ikouwais lewistan lawrencekao roelreiné
335787,rubenfleischer,tomholland,markwahlberg,sophiaali,Action Adventure,based on video gam duringcreditssting,uncharted,Action Adventure based on video gam duringcreditssting tomholland markwahlberg sophiaali rubenfleischer
626735,channingtatum,channingtatum,janeadams,kevinnash,Drama Comedy,dog hero,dog,Drama Comedy dog hero channingtatum janeadams kevinnash channingtatum
632727,davidbluegarcia,sarahyarkin,elsiefisher,markburnham,Horror Thriller,texa sequel murder gore serial kil decapit slasher cannib body mutil reboot,texas chainsaw massacre,Horror Thriller texa sequel murder gore serial kil decapit slasher cannib body mutil reboot sarahyarkin elsiefisher markburnham davidbluegarcia
630392,seanellis,kellyreilly,boydholbrook,alistairpetrie,Horror Fantasy Mystery,world war i flashback gore werewolf church 1800s,the cursed,Horror Fantasy Mystery world war i flashback gore werewolf church 1800s kellyreilly boydholbrook alistairpetrie seanellis
830027,erikpetercarlson,emilyshenaut,brianhull,bridgetwinder,Adventure Family Fantasy,,a fairy tale after all,Adventure Family Fantasy  emilyshenaut brianhull bridgetwinder erikpetercarlson
730047,joewright,peterdinklage,haleybennett,kelvinharrisonjr.,Drama Romance,music remak,cyrano,Drama Romance music remak peterdinklage haleybennett kelvinharrisonjr. joewright
895744,b.j.mcdonnell,davegrohl,taylorhawkins,natemendel,Horror Comedy Music,decapit demonic possess cannib,studio 666,Horror Comedy Music decapit demonic possess cannib davegrohl taylorhawkins natemendel b.j.mcdonnell
845404,tylerperry,tylerperry,cassidavis,davidmann,Comedy,,a madea homecoming,Comedy  tylerperry cassidavis davidmann tylerperry
833425,damienpower,havanaroseliu,dannyramirez,dennishaysbert,Horror Thriller Mystery,based on novel or book child kidnap,no exit,Horror Thriller Mystery based on novel or book child kidnap havanaroseliu dannyramirez dennishaysbert damienpower
916821,edwarddrake,devonsawa,brucewillis,lukewilson,Action Thriller Crime Mystery,,gasoline alley,Action Thriller Crime Mystery  devonsawa brucewillis lukewilson edwarddrake
414906,mattreeves,robertpattinson,zoëkravitz,pauldano,Crime Mystery Thriller,secret ident nightclub psychopath superhero based on com organized crim serial kil aftercreditssting,the batman,Crime Mystery Thriller secret ident nightclub psychopath superhero based on com organized crim serial kil aftercreditssting robertpattinson zoëkravitz pauldano mattreeves
585378,kogonada,colinfarrell,jodieturner-smith,maleaemmatjandrawidjaja,Science Fiction Drama,loss of loved on based on novel or book futur grief memori mourn adopted child father daughter relationship,after yang,Science Fiction Drama loss of loved on based on novel or book futur grief memori mourn adopted child father daughter relationship colinfarrell jodieturner-smith maleaemmatjandrawidjaja kogonada
787752,mimicave,daisyedgar-jones,sebastianstan,jonicat.gibbs,Horror Thriller Comedy,kidnap female friendship love cannib body mutil woman director cannib,fresh,Horror Thriller Comedy kidnap female friendship love cannib body mutil woman director cannib daisyedgar-jones sebastianstan jonicat.gibbs mimicave
864116,wesmiller,kevindillon,brucewillis,leon,Action Thriller Crime,,a day to die,Action Thriller Crime  kevindillon brucewillis leon wesmiller
696806,shawnlevy,ryanreynolds,walkerscobell,markruffalo,Adventure Science Fiction,time travel,the adam project,Adventure Science Fiction time travel ryanreynolds walkerscobell markruffalo shawnlevy
508947,domeeshi,rosaliechiang,sandraoh,avamorse,Animation Family Comedy Fantasy,friendship coming of ag teenage girl female protagonist east asian lead aftercreditssting woman director mother daughter relationship,turning red,Animation Family Comedy Fantasy friendship coming of ag teenage girl female protagonist east asian lead aftercreditssting woman director mother daughter relationship rosaliechiang sandraoh avamorse domeeshi
860852,kimbass,majordodson,rorycochrane,amysmart,Drama,,tyson's run,Drama  majordodson rorycochrane amysmart kimbass
921655,kattshea,grantgustin,scottwolf,kaylahzander,Family Drama,based on true stori,rescued by ruby,Family Drama based on true stori grantgustin scottwolf kaylahzander kattshea
799876,grahammoore,markrylance,zoeydeutch,johnnyflynn,Crime Drama Thriller,"chicago, illinoi murder organized crim killer 1950s",the outfit,"Crime Drama Thriller chicago, illinoi murder organized crim killer 1950s markrylance zoeydeutch johnnyflynn grahammoore"
619979,adrianlyne,benaffleck,anadearmas,tracyletts,Drama Mystery Thriller,based on novel or book marriag murder psycholog,deep water,Drama Mystery Thriller based on novel or book marriag murder psycholog benaffleck anadearmas tracyletts adrianlyne
691683,gaillerner,gabrielleunion,zachbraff,erikachristensen,Family Comedy,based on novel or book remak,cheaper by the dozen,Family Comedy based on novel or book remak gabrielleunion zachbraff erikachristensen gaillerner
850018,charliemcdowell,jasonsegel,lilycollins,jesseplemons,Thriller Crime Drama,gun vacat billionair crimin wealthy man,windfall,Thriller Crime Drama gun vacat billionair crimin wealthy man jasonsegel lilycollins jesseplemons charliemcdowell
760104,tiwest,miagoth,jennaortega,brittanysnow,Horror Mystery Thriller,sheriff 1970s texa allig serial kil slasher isolated farmhous brutal viol,x,Horror Mystery Thriller sheriff 1970s texa allig serial kil slasher isolated farmhous brutal viol miagoth jennaortega brittanysnow tiwest
751237,irisk.shim,sandraoh,fivelstewart,dermotmulroney,Horror,farm east asian lead death of moth woman director mother daughter relationship,umma,Horror farm east asian lead death of moth woman director mother daughter relationship sandraoh fivelstewart dermotmulroney irisk.shim
850028,marynighy,annakendrick,kaniehtiiohorn,charliecarrick,Thriller Drama,female friendship friendship psychological abus thriller domestic abus female protagonist intervent boyfriend girlfriend relationship woman director abusive boyfriend independent film,alice,Thriller Drama female friendship friendship psychological abus thriller domestic abus female protagonist intervent boyfriend girlfriend relationship woman director abusive boyfriend independent film annakendrick kaniehtiiohorn charliecarrick marynighy
680829,mariamadiallo,reginahall,zoerenee,ambergray,Horror Thriller Drama Mystery,,master,Horror Thriller Drama Mystery  reginahall zoerenee ambergray mariamadiallo
890466,peyfa,melissaleo,bellathorne,jakeweary,Thriller,,measure of revenge,Thriller  melissaleo bellathorne jakeweary peyfa
752623,adamnee,sandrabullock,channingtatum,danielradcliffe,Action Adventure Comedy,duringcreditssting,the lost city,Action Adventure Comedy duringcreditssting sandrabullock channingtatum danielradcliffe adamnee
545611,danielscheinert,michelleyeoh,kehuyquan,stephaniehsu,Action Adventure Science Fiction,mother martial art east asian lead famili multivers mother daughter relationship,everything everywhere all at once,Action Adventure Science Fiction mother martial art east asian lead famili multivers mother daughter relationship michelleyeoh kehuyquan stephaniehsu danielscheinert
811631,małgorzataszumowska,naomiwatts,billyhowle,deniso'hare,Drama Thriller,hike surviv,infinite storm,Drama Thriller hike surviv naomiwatts billyhowle deniso'hare małgorzataszumowska
