id,director,actor1,actor2,actor3,genres,keywords,title,comb
675327,roseanneliang,chloëgracemoretz,nickrobinson,beulahkoale,Horror Action War,world war ii woman director,shadow in the cloud,Horror Action War world war ii woman director chloëgracemoretz nickrobinson beulahkoale roseanneliang
628534,raminbahrani,adarshgourav,rajkummarrao,priyankachoprajonas,Drama,based on novel or book rags to rich class differ,the white tiger,Drama based on novel or book rags to rich class differ adarshgourav rajkummarrao priyankachoprajonas raminbahrani
741228,dougliman,annehathaway,chiwetelejiofor,stephenmerchant,Comedy Crime Drama,"london, england lockdown pandem covid-19",locked down,"Comedy Crime Drama london, england lockdown pandem covid-19 annehathaway chiwetelejiofor stephenmerchant dougliman"
532865,simonstone,careymulligan,ralphfiennes,lilyjames,Drama History,based on novel or book based on true stori class differ 1930s,the dig,Drama History based on novel or book based on true stori class differ 1930s careymulligan ralphfiennes lilyjames simonstone
775996,mikaelhåfström,anthonymackie,damsonidris,enzocilenti,Thriller Action Science Fiction,android killer robot near futur,outside the wire,Thriller Action Science Fiction android killer robot near futur anthonymackie damsonidris enzocilenti mikaelhåfström
634528,robertlorenz,liamneeson,katherynwinnick,teresaruiz,Action Thriller,mexico assassin war veteran usa–mexico bord murder farmer road movi,the marksman,Action Thriller mexico assassin war veteran usa–mexico bord murder farmer road movi liamneeson katherynwinnick teresaruiz robertlorenz
776884,bennettlasseter,keeanjohnson,madelinebrewer,olivercooper,Drama Music,,the ultimate playlist of noise,Drama Music  keeanjohnson madelinebrewer olivercooper bennettlasseter
621476,nateparker,omarihardwick,theorossi,beauknapp,Crime Drama,,american skin,Crime Drama  omarihardwick theorossi beauknapp nateparker
572400,alexmcaulay,jackdylangrazer,fionnwhitehead,rainnwilson,Crime,murder coming of ag theft trap brother brother relationship,don't tell a soul,Crime murder coming of ag theft trap brother brother relationship jackdylangrazer fionnwhitehead rainnwilson alexmcaulay
583903,gabrielacowperthwaite,dakotajohnson,caseyaffleck,jasonsegel,Drama Romance,friendship based on true stori,our friend,Drama Romance friendship based on true stori dakotajohnson caseyaffleck jasonsegel gabrielacowperthwaite
8342,danistanović,brankođurić,renebitorajac,filipšovagović,Drama Action History,anti war land min,no man's land,Drama Action History anti war land min brankođurić renebitorajac filipšovagović danistanović
766931,alexranarivelo,seanpatrickflanery,dennisquaid,katrinabowden,Action Drama,fight sport mixed martial art,born a champion,Action Drama fight sport mixed martial art seanpatrickflanery dennisquaid katrinabowden alexranarivelo
9902,robschmidt,elizadushku,emmanuellechriqui,lindybooth,Horror Thriller,loss of loved on forest horror slasher survival horror,wrong turn,Horror Thriller loss of loved on forest horror slasher survival horror elizadushku emmanuellechriqui lindybooth robschmidt
618416,glendynivin,naomiwatts,andrewlincoln,griffinmurray-johnston,Drama,,penguin bloom,Drama  naomiwatts andrewlincoln griffinmurray-johnston glendynivin
602269,johnleehancock,denzelwashington,ramimalek,jaredleto,Crime Drama Thriller,"detect serial kil los angeles, california 1990s",the little things,"Crime Drama Thriller detect serial kil los angeles, california 1990s denzelwashington ramimalek jaredleto johnleehancock"
644092,judeweng,keapeahu,alexaiono,lindsaywatson,Action Adventure Comedy Family,hawaii,finding ʻohana,Action Adventure Comedy Family hawaii keapeahu alexaiono lindsaywatson judeweng
581734,chloézhao,francesmcdormand,davidstrathairn,lindamay,Drama,based on novel or book road movi,nomadland,Drama based on novel or book road movi francesmcdormand davidstrathairn lindamay chloézhao
722913,samlevinson,johndavidwashington,zendaya,,Drama Romance,love black and whit drug filmmak one loc two-hand,malcolm & marie,
458220,fisherstevens,justintimberlake,ryderallen,junotemple,Drama,small town young boy ex-con,palmer,Drama small town young boy ex-con justintimberlake ryderallen junotemple fisherstevens
833097,janeendamian,lindsaylohan,chordoverstreet,georgeyoung,Romance Comedy Family,christmas spirit,falling,Romance Comedy Family christmas spirit lindsaylohan chordoverstreet georgeyoung janeendamian
613911,mikecahill,owenwilson,salmahayek,nestacooper,Science Fiction Romance Drama,film in film,bliss,Science Fiction Romance Drama film in film owenwilson salmahayek nestacooper mikecahill
586791,chadhartigan,oliviacooke,jacko'connell,soko,Romance Science Fiction Drama,"photograph seattle, usa married coupl musician nonlinear timelin pandem",little fish,"Romance Science Fiction Drama photograph seattle, usa married coupl musician nonlinear timelin pandem oliviacooke jacko'connell soko chadhartigan"
686548,barryalexanderbrown,lucastill,juliaormond,briandennehy,History Drama,,son of the south,History Drama  lucastill juliaormond briandennehy barryalexanderbrown
670129,benhozie,petervack,juliafox,keithpoulson,Drama,new york c gambl sex work,pvt chat,Drama new york c gambl sex work petervack juliafox keithpoulson benhozie
586101,sia,katehudson,leslieodomjr.,maddieziegler,Music Drama,autism drug deal,music,Music Drama autism drug deal katehudson leslieodomjr. maddieziegler sia
583406,shakaking,lakeithstanfield,danielkaluuya,dominiquefishback,Drama History,"assassin chicago, illinoi based on true stori betray 1960s african american histori",judas and the black messiah,"Drama History assassin chicago, illinoi based on true stori betray 1960s african american histori lakeithstanfield danielkaluuya dominiquefishback shakaking"
644583,kevinmacdonald,taharrahim,jodiefoster,benedictcumberbatch,Drama Thriller,confess based on novel or book prison based on true stori lawyer tortur sleep depriv,the mauritanian,Drama Thriller confess based on novel or book prison based on true stori lawyer tortur sleep depriv taharrahim jodiefoster benedictcumberbatch kevinmacdonald
556867,tatetaylor,allisonjanney,milakunis,reginahall,Comedy Drama Crime,,breaking news in yuba county,Comedy Drama Crime  allisonjanney milakunis reginahall tatetaylor
595813,joshgreenbaum,kristenwiig,anniemumolo,jamiedornan,Comedy,florida vacat friend duringcreditssting,barb and star go to vista del mar,Comedy florida vacat friend duringcreditssting kristenwiig anniemumolo jamiedornan joshgreenbaum
615643,leeisaacchung,stevenyeun,hanyeri,younyuh-jung,Drama,american dream east asian lead farmer family tens 1980s korean american grandmother grandson relationship korean asian american,minari,Drama american dream east asian lead farmer family tens 1980s korean american grandmother grandson relationship korean asian american stevenyeun hanyeri younyuh-jung leeisaacchung
614409,michaelfimognari,lanacondor,noahcentineo,janelparrish,Romance Comedy Drama,based on novel or book asian american,to all the boys: always and forever,Romance Comedy Drama based on novel or book asian american lanacondor noahcentineo janelparrish michaelfimognari
506281,monafastvold,katherinewaterston,caseyaffleck,vanessakirby,Romance Drama Western,,the world to come,Romance Drama Western  katherinewaterston caseyaffleck vanessakirby monafastvold
599960,azazeljacobs,michellepfeiffer,lucashedges,tracyletts,Drama Comedy,based on novel or book cat widow reincarn mother son relationship,french exit,Drama Comedy based on novel or book cat widow reincarn mother son relationship michellepfeiffer lucashedges tracyletts azazeljacobs
