id,director,actor1,actor2,actor3,genres,keywords,title
535987,katharineo'brien,junotemple,simonpegg,rebeccahazlewood,Drama,schizophrenia,Lost Transmissions
491926,jonathanjakubowicz,jesseeisenberg,edharris,clémencepoésy,War History Drama,,Resistance
660609,prenticepenny,mamoudouathie,courtneyb.vance,niecynash,Drama Comedy,,Uncorked
458305,lorcanfinnegan,imogenpoots,jesseeisenberg,jonathanaris,Science Fiction Thriller Mystery,babi trap,Vivarium
615177,michaeldowse,edhelms,terrencelittlegardenhigh,tarajip.henson,Comedy Action Crime,,Coffee & Kareem
446893,waltdohrn,annakendrick,justintimberlake,ronfunches,Family Animation Comedy Fantasy Adventure Music,sequel,Trolls World Tour
624808,deancraig,samclaflin,oliviamunn,eleanortomlinson,Comedy Romance,romanc wed,Love Wedding Repeat
637157,jaykaras,sethcarr,tichinaarnold,adampally,Family Comedy,,The Main Event
546724,marcmeyers,alexandradaddario,keeanjohnson,loganmiller,Horror Thriller,satanic cult,We Summon the Darkness
686142,vickywight,lesliebibb,joshduhamel,noradunn,Drama Romance,romanc,The Lost Husband
684420,charlesband,codyreneecameron,robinsydney,russellcoker,Horror Comedy,gore covid-19,Corona Zombies
653744,gregbarker,wagnermoura,anadearmas,garretdillahunt,Drama,,Sergio
560044,krispearn,willforte,mayarudolph,alessiacara,Animation Comedy Family,,The Willoughbys
545609,samhargrave,chrishemsworth,rudhrakshjaiswal,randeephooda,Drama Action Thriller,"mercenari mumbai (bombay), india based on com based on graphic novel",Extraction
693594,seanmcewen,tamminsursok,tomfelton,wendimclendon-covey,Drama Comedy,family relationship brother sister relationship,Braking for Whales
530723,coryfinley,hughjackman,allisonjanney,geraldineviswanathan,Drama Crime History TV Movie,"long island, new york based on true stori school",Bad Education
689723,michaelscott,camilamendes,jessiet.usher,jamiechung,Thriller,nurs,Dangerous Lies
530956,joerobertcole,ashtonsanders,jeffreywright,isaiahjohn,Drama,,All Day and a Night
605804,drewt.pierce,john-paulhoward,pipercurda,jamisonjones,Horror Mystery Thriller,witch possess wood occult,The Wretched
597219,alicewu,leahlewis,danieldiemer,alexxislemire,Comedy Romance Drama,small town high school romantic comedi coming of ag east asian lead lgbt lgbt teen teenage protagonist lesbian teenag,The Half of It
560204,clarkduke,liamhemsworth,clarkduke,vincevaughn,Crime Thriller,based on novel or book murder drug deal,Arkansas
19053,marthacoolidge,nicolascage,deborahforeman,elizabethdaily,Comedy Romance,alcohol love friend drug woman director,Valley Girl
429422,joshtrank,tomhardy,lindacardellini,mattdillon,Crime Drama,gangster biographi based on true stori,Capone
582596,tylerspindel,davidspade,laurenlapkus,candacesmith,Comedy Romance,shark attack blind dat mistaken ident duringcreditssting,The Wrong Missy
385103,tonycervone,amandaseyfried,frankwelker,mckennagrace,Adventure Animation Comedy Crime Family Fantasy Mystery Science Fiction,friend,Scoob!
128163,[],[],[],[],,,Blood and Money
513268,malikvitthal,maryj.blige,natwolff,davidzayas,Horror Thriller Mystery,,Body Cam
576156,michaelshowalter,issarae,kumailnanjiani,paulsparks,Comedy Action Romance,,The Lovebirds
602147,vaughnstein,lilycollins,simonpegg,connienielsen,Thriller,daughter,Inheritance
686245,matteskandari,chadmichaelmurray,brucewillis,lydiahull,Action Thriller,,Survive the Night
665824,nicholasashebateman,jordanmonaghan,joshclark,yasaminkeshtkar,Drama Fantasy Romance Science Fiction,,The Wanting Mare
606679,nishaganatra,dakotajohnson,traceeellisross,kelvinharrisonjr.,Romance Comedy Music Drama,,The High Note
547017,josephinedecker,elisabethmoss,odessayoung,michaelstuhlbarg,Drama Thriller,husband wife relationship biographi writer woman director,Shirley
339095,oliviermegaton,edgarramírez,michaelpitt,annabrewster,Action Crime Thriller,based on com,The Last Days of American Crime
601844,carymurnion,luluwilson,kevinjames,joelmchale,Thriller Crime Horror Action,cabin murder gore tortur home invas,Becky
513584,giljunger,gabrielbateman,toddstashwick,joshduhamel,Family Comedy Drama,dog famili,Think Like a Dog
581859,spikelee,delroylindo,jonathanmajors,clarkepeters,War Drama,vietnam war male friendship,Da 5 Bloods
475430,kennethbranagh,ferdiashaw,colinfarrell,laramcdonnell,Adventure Fantasy Science Fiction Family Action,kidnap magic based on children's book famili,Artemis Fowl
579583,juddapatow,petedavidson,marisatomei,billburr,Comedy Drama,slacker,The King of Staten Island
702936,kaareandrews,chadmichaelcollins,sayakaakimoto,tomberenger,Action,,Sniper: Assassin's End
514593,davidkoepp,kevinbacon,amandaseyfried,averytiiuessex,Horror,based on novel or book husband wife relationship hous horror time loop writer,You Should Have Left
451184,olivierassayas,penélopecruz,edgarramírez,gaelgarcíabernal,Drama History Thriller,"miami, florida based on true stori espionag terror",Wasp Network
707886,elissadown,sofiacarson,wolfgangnovogratz,donnalynnechamplin,Comedy Music Drama,,Feel the Beat
509585,patrickvollrath,josephgordon-levitt,omidmemar,aylintezel,Action Drama Thriller,kidnap,7500
684700,jonshenk,maggienichols,jamiedantzscher,markalesia,Documentary,sport teenage girl,Athlete A
531454,daviddobkin,rachelmcadams,willferrell,piercebrosnan,Comedy Music,,Eurovision Song Contest: The Story of Fire Saga
595148,jonstewart,stevecarell,rosebyrne,chriscooper,Comedy Drama,small town,Irresistible
592834,petersegal,davebautista,chloecoleman,parisafitz-henley,Family Action Comedy,spi,My Spy
677638,danielchong,ericedelstein,bobbymoynihan,demetrimartin,Animation Adventure Family Comedy TV Movie,road trip talking anim,We Bare Bears: The Movie
556574,thomaskail,lin-manuelmiranda,leslieodomjr.,renéeelisegoldsberry,History Drama,presidential elect music biographi based on play or mus,Hamilton
539181,natalieerikajames,emilymortimer,bellaheathcote,robynnevin,Horror Drama Mystery Thriller,dementia wood disappear missing person christma mother daughter relationship,Relic
706510,lp,nasimpedrad,annacamp,lamornemorris,Comedy Romance,,Desperados
547016,ginaprince-bythewood,charlizetheron,kikilayne,matthiasschoenaerts,Action Fantasy,mercenari superhero based on com,The Old Guard
694919,andrewlawrence,adamcopeland,kelseygrammer,thomasjane,Action Crime,,Money Plane
516486,aaronschneider,tomhanks,stephengraham,robmorgan,War Action Drama,world war ii based on true stori,Greyhound
587792,maxbarbakow,andysamberg,cristinmilioti,j.k.simmons,Comedy Romance Science Fiction,time travel romanc time loop,Palm Springs
714375,petersullivan,nialong,stephenbishop,omarepps,Thriller,,Fatal Affair
603119,robinpront,nikolajcoster-waldau,annabellewallis,zahnmcclarnon,Action Thriller,sheriff small town investig wood serial kil disappear alcohol,The Silencing
