id,director,actor1,actor2,actor3,genres,keywords,title,comb
862,johnlasseter,tomhanks,timallen,donrickles,Animation Comedy Family,jealousi toy boy friendship friend rivalri boy next door new toy toy comes to lif,toy story,Animation Comedy Family jealousi toy boy friendship friend rivalri boy next door new toy toy comes to lif tomhanks timallen donrickles johnlasseter
8844,joejohnston,robinwilliams,jonathanhyde,kirstendunst,Adventure Fantasy Family,board gam disappear based on children's book new hom reclus giant insect,jumanji,Adventure Fantasy Family board gam disappear based on children's book new hom reclus giant insect robinwilliams jonathanhyde kirstendunst joejohnston
15602,howarddeutch,waltermatthau,jacklemmon,ann-margret,Romance Comedy,fish best friend duringcreditssting,grumpier old men,Romance Comedy fish best friend duringcreditssting waltermatthau jacklemmon ann-margret howarddeutch
31357,forestwhitaker,whitneyhouston,angelabassett,lorettadevine,Comedy Drama Romance,based on novel interracial relationship single moth divorc chick flick,waiting to exhale,Comedy Drama Romance based on novel interracial relationship single moth divorc chick flick whitneyhouston angelabassett lorettadevine forestwhitaker
11862,charlesshyer,stevemartin,dianekeaton,martinshort,Comedy,babi midlife crisi confid age daughter mother daughter relationship pregnanc contracept gynecologist,father of the bride part ii,Comedy babi midlife crisi confid age daughter mother daughter relationship pregnanc contracept gynecologist stevemartin dianekeaton martinshort charlesshyer
949,michaelmann,alpacino,robertdeniro,valkilmer,Action Crime Drama Thriller,robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang cat and mous criminal mastermind cult film ex-con heist movi one last job loner neo-noir gun fight crime ep,heat,Action Crime Drama Thriller robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang cat and mous criminal mastermind cult film ex-con heist movi one last job loner neo-noir gun fight crime ep alpacino robertdeniro valkilmer michaelmann
11860,sydneypollack,harrisonford,juliaormond,gregkinnear,Comedy Romance,pari brother brother relationship chauffeur long island millionair,sabrina,Comedy Romance pari brother brother relationship chauffeur long island millionair harrisonford juliaormond gregkinnear sydneypollack
45325,peterhewitt,jonathantaylorthomas,bradrenfro,rachaelleighcook,Action Adventure Drama Family,,tom and huck,Action Adventure Drama Family  jonathantaylorthomas bradrenfro rachaelleighcook peterhewitt
9091,peterhyams,jean-claudevandamme,powersboothe,dorianharewood,Action Adventure Thriller,terrorist hostag explos vice presid,sudden death,Action Adventure Thriller terrorist hostag explos vice presid jean-claudevandamme powersboothe dorianharewood peterhyams
710,martincampbell,piercebrosnan,seanbean,izabellascorupco,Adventure Action Thriller,cuba falsely accus secret ident computer virus secret bas secret intelligence servic kgb satellit special car cossack time bomb st. petersburg russia ejection seat red armi,goldeneye,Adventure Action Thriller cuba falsely accus secret ident computer virus secret bas secret intelligence servic kgb satellit special car cossack time bomb st. petersburg russia ejection seat red armi piercebrosnan seanbean izabellascorupco martincampbell
9087,robreiner,michaeldouglas,annettebening,michaelj.fox,Comedy Drama Romance,white hous usa presid new lov widow,the american president,Comedy Drama Romance white hous usa presid new lov widow michaeldouglas annettebening michaelj.fox robreiner
12110,melbrooks,leslienielsen,melbrooks,amyyasbeck,Comedy Horror,dracula spoof,dracula: dead and loving it,Comedy Horror dracula spoof leslienielsen melbrooks amyyasbeck melbrooks
21032,simonwells,kevinbacon,bobhoskins,bridgetfonda,Family Animation Adventure,wolf alaska dog goos bear attack,balto,Family Animation Adventure wolf alaska dog goos bear attack kevinbacon bobhoskins bridgetfonda simonwells
10858,oliverstone,anthonyhopkins,joanallen,powersboothe,History Drama,usa presid presidential elect watergate scand biographi govern historical figur,nixon,History Drama usa presid presidential elect watergate scand biographi govern historical figur anthonyhopkins joanallen powersboothe oliverstone
1408,rennyharlin,geenadavis,matthewmodine,franklangella,Action Adventure,exotic island treasur map ship scalp pirat,cutthroat island,Action Adventure exotic island treasur map ship scalp pirat geenadavis matthewmodine franklangella rennyharlin
524,martinscorsese,robertdeniro,sharonstone,joepesci,Drama Crime,poker drug abus 1970s overdos illegal prostitut,casino,Drama Crime poker drug abus 1970s overdos illegal prostitut robertdeniro sharonstone joepesci martinscorsese
4584,anglee,katewinslet,emmathompson,hughgrant,Drama Romance,bowl based on novel servant country lif jane austen inherit military offic period drama rainstorm horse and carriag,sense and sensibility,Drama Romance bowl based on novel servant country lif jane austen inherit military offic period drama rainstorm horse and carriag katewinslet emmathompson hughgrant anglee
5,allisonanders,timroth,antoniobanderas,jenniferbeals,Crime Comedy,hotel new year's ev witch bet hotel room sperm los angel hoodlum woman director episode film,four rooms,Crime Comedy hotel new year's ev witch bet hotel room sperm los angel hoodlum woman director episode film timroth antoniobanderas jenniferbeals allisonanders
9273,steveoedekerk,jimcarrey,ianmcneice,simoncallow,Crime Comedy Adventure,africa indigen human animal relationship bat,ace ventura: when nature calls,Crime Comedy Adventure africa indigen human animal relationship bat jimcarrey ianmcneice simoncallow steveoedekerk
11517,josephruben,wesleysnipes,woodyharrelson,jenniferlopez,Action Comedy Crime,brother brother relationship subway new york c new york subway train robberi,money train,Action Comedy Crime brother brother relationship subway new york c new york subway train robberi wesleysnipes woodyharrelson jenniferlopez josephruben
8012,barrysonnenfeld,johntravolta,genehackman,renerusso,Comedy Thriller Crime,gambl miami based on novel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con,get shorty,Comedy Thriller Crime gambl miami based on novel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con johntravolta genehackman renerusso barrysonnenfeld
1710,jonamiel,sigourneyweaver,hollyhunter,willpatton,Drama Thriller,police brut psycholog police oper police protect serial kil psychologist cowardli,copycat,Drama Thriller police brut psycholog police oper police protect serial kil psychologist cowardli sigourneyweaver hollyhunter willpatton jonamiel
9691,richarddonner,sylvesterstallone,antoniobanderas,juliannemoore,Action Adventure Crime Thriller,competit assassin cia bank cat mexican standoff seattl hitman mission of murd hidden camera rivalri rescu shootout police chas sniper rifl silenc double cross caribbean detroit michigan,assassins,Action Adventure Crime Thriller competit assassin cia bank cat mexican standoff seattl hitman mission of murd hidden camera rivalri rescu shootout police chas sniper rifl silenc double cross caribbean detroit michigan sylvesterstallone antoniobanderas juliannemoore richarddonner
12665,victorsalva,marysteenburgen,seanpatrickflanery,lancehenriksen,Drama Fantasy Science Fiction Thriller,dead anim shot to death teenage boy held at gunpoint teacher student relationship albino faint psionic pow healing pow extrasensory percept,powder,Drama Fantasy Science Fiction Thriller dead anim shot to death teenage boy held at gunpoint teacher student relationship albino faint psionic pow healing pow extrasensory percept marysteenburgen seanpatrickflanery lancehenriksen victorsalva
451,mikefiggis,nicolascage,elisabethshue,juliansands,Drama Romance,individu prostitut alcohol casino love at first sight lovesick film produc screenwrit hotel room dying and death rage and h unsoci alcohol los angel alcohol abus attempted suicid,leaving las vegas,Drama Romance individu prostitut alcohol casino love at first sight lovesick film produc screenwrit hotel room dying and death rage and h unsoci alcohol los angel alcohol abus attempted suicid nicolascage elisabethshue juliansands mikefiggis
16420,oliverparker,laurencefishburne,irènejacob,kennethbranagh,Drama,shakespear jealousi friend,othello,Drama shakespear jealousi friend laurencefishburne irènejacob kennethbranagh oliverparker
9263,leslilinkaglatter,christinaricci,rosieo'donnell,thorabirch,Comedy Drama Family,1970s female friendship coming of ag gynecologist woman director,now and then,Comedy Drama Family 1970s female friendship coming of ag gynecologist woman director christinaricci rosieo'donnell thorabirch leslilinkaglatter
17015,rogermichell,amandaroot,ciaránhinds,susanfleetwood,Drama Romance,captain napoleonic war old flam,persuasion,Drama Romance captain napoleonic war old flam amandaroot ciaránhinds susanfleetwood rogermichell
902,jean-pierrejeunet,ronperlman,dominiquepinon,judithvittet,Fantasy Science Fiction Adventure,clone dream island eye dystopia age friendship rescu children girl childhood,the city of lost children,Fantasy Science Fiction Adventure clone dream island eye dystopia age friendship rescu children girl childhood ronperlman dominiquepinon judithvittet jean-pierrejeunet
37557,zhangyimou,gongli,libao-tian,wangxiaoxiao,Drama Crime,servant cabaret shanghai diva uncl mistress umbrella,shanghai triad,Drama Crime servant cabaret shanghai diva uncl mistress umbrella gongli libao-tian wangxiaoxiao zhangyimou
9909,johnn.smith,michellepfeiffer,georgedzundza,courtneyb.vance,Drama Crime,rap mus karat high school naval offic teacher amusement park,dangerous minds,Drama Crime rap mus karat high school naval offic teacher amusement park michellepfeiffer georgedzundza courtneyb.vance johnn.smith
63,terrygilliam,brucewillis,madeleinestowe,bradpitt,Science Fiction Thriller Mystery,schizophrenia philadelphia time travel post-apocalypt dystopia lethal virus monkey subterranean,twelve monkeys,Science Fiction Thriller Mystery schizophrenia philadelphia time travel post-apocalypt dystopia lethal virus monkey subterranean brucewillis madeleinestowe bradpitt terrygilliam
9598,chrisnoonan,christinecavanaugh,miriammargolyes,dannymann,Fantasy Drama Comedy Family,sheep pig affect piglet talking anim separ german shepherd talking pig,babe,Fantasy Drama Comedy Family sheep pig affect piglet talking anim separ german shepherd talking pig christinecavanaugh miriammargolyes dannymann chrisnoonan
47018,christopherhampton,emmathompson,jonathanpryce,stevenwaddington,History Drama Romance,england painter conscientious objector independent film soldier,carrington,History Drama Romance england painter conscientious objector independent film soldier emmathompson jonathanpryce stevenwaddington christopherhampton
687,timrobbins,susansarandon,seanpenn,robertprosky,Drama,prison rape socially deprived famili penalti death penalti despair death row begnadigung therapist self-discoveri prison cel court cas death sent doomed man sentenc lethal inject forgiv chariti rage and h unsoci right and justic court electric chair cowardli,dead man walking,Drama prison rape socially deprived famili penalti death penalti despair death row begnadigung therapist self-discoveri prison cel court cas death sent doomed man sentenc lethal inject forgiv chariti rage and h unsoci right and justic court electric chair cowardli susansarandon seanpenn robertprosky timrobbins
139405,stephenlow,peterreznick,johnmcdonough,avihoffman,Adventure History Drama Family,,across the sea of time,Adventure History Drama Family  peterreznick johnmcdonough avihoffman stephenlow
33689,andytennant,kirstiealley,steveguttenberg,ashleyolsen,Comedy Family Romance,orphan identical twin,it takes two,Comedy Family Romance orphan identical twin kirstiealley steveguttenberg ashleyolsen andytennant
9603,amyheckerling,aliciasilverstone,staceydash,brittanymurphy,Comedy Drama Romance,puberti high school make a match spoiled child gay interest conflict woman director,clueless,Comedy Drama Romance puberti high school make a match spoiled child gay interest conflict woman director aliciasilverstone staceydash brittanymurphy amyheckerling
34615,darrelljamesroodt,jamesearljones,charless.dutton,jackrobinson,Drama,south africa,"cry, the beloved country",Drama south africa jamesearljones charless.dutton jackrobinson darrelljamesroodt
31174,richardloncraine,ianmckellen,annettebening,jimbroadbent,Drama War,england shakespear kidnap murder king,richard iii,Drama War england shakespear kidnap murder king ianmckellen annettebening jimbroadbent richardloncraine
11443,alberthughes,larenztate,keithdavid,christucker,Action Crime Drama History,money loss of virgin armored truck,dead presidents,Action Crime Drama History money loss of virgin armored truck larenztate keithdavid christucker alberthughes
35196,michaelhoffman,robertdowneyjr.,megryan,samneill,Drama Romance,jealousi medicin fountain court wealth glove,restoration,Drama Romance jealousi medicin fountain court wealth glove robertdowneyjr. megryan samneill michaelhoffman
